"Old/New","Ctrl No (010)","Tag","Ind","Heading"
"Old","$a n  85010738","100","10","$a Aniskin, I͡U. P. $q (I͡Uriĭ Petrovich)","","",""
"New","$a n  85010738","100","1","$a Aniskin, I︠U︡. P. $q (I︠U︡riĭ Petrovich)","","",""
"Old","$a no2012107259","100","1","$a Annunziata, Alessandro, $d 1968- $t Quartets, $m strings, $n no. 1","","",""
"New","$a no2012107259","100","1","$a Annunziata, Alessandro, $d 1968- $t Quartets, $m violins (2), viola, cello, $n no. 1","","",""
"Old","$a no 98000501","100","1","$a Antheil, George, $d 1900-1959. $t Quartets, $m strings, $n no. 1","","",""
"New","$a no 98000501","100","1","$a Antheil, George, $d 1900-1959. $t Quartets, $m violins (2), viola, cello, $n no. 1","","",""
"Old","$a no 98000502","100","1","$a Antheil, George, $d 1900-1959. $t Quartets, $m strings, $n no. 2","","",""
"New","$a no 98000502","100","1","$a Antheil, George, $d 1900-1959. $t Quartets, $m violins (2), viola, cello, $n no. 2","","",""
"Old","$a n  00114385","100","1","$a Antheil, George, $d 1900-1959. $t Quartets, $m strings, $n no. 3","","",""
"New","$a n  00114385","100","1","$a Antheil, George, $d 1900-1959. $t Quartets, $m violins (2), viola, cello, $n no. 3","","",""
"Old","$a no 98013517","100","10","$a Antheil, George, $d 1900-1959. $t Quartets, $m strings","","",""
"New","$a no 98013517","100","10","$a Antheil, George, $d 1900-1959. $t Quartets, $m violins (2), viola, cello","","",""
"Old","$a n  84084398","100","10","$a Anti͡ukhin, G. V. $q (Georgiĭ Vladimirovich)","","",""
"New","$a n  84084398","100","1","$a Anti︠u︡khin, G. V. $q (Georgiĭ Vladimirovich)","","",""
"Old","$a no2008148619","100","1","$a Antonov, O. I︠U︡ $q (Oleg I︠U︡r'evich)","","",""
"New","$a no2008148619","100","1","$a Antonov, O. I︠U︡ $q (Oleg I︠U︡rʹevich)","","",""
"Old","$a no2014032761","100","1","$a Antopolsky, Román, $d 1976 -","","",""
"New","$a no2014032761","100","1","$a Antopolsky, Román, $d 1976-","","",""
"Old","$a n  83195008","100","10","$a Ant͡supov, I. A.","","",""
"New","$a n  83195008","100","1","$a Ant︠s︡upov, I. A.","","",""
"Old","$a n  81057547","100","1","$a Anwar, Muhammad, $c Advocate","","",""
"New","$a n  81057547","100","1","$a Anwar, Muhammad $c (Advocate)","","",""
"Old","$a n  83237178","100","10","$a Apart͡sin, A. S.","","",""
"New","$a n  83237178","100","1","$a Apart︠s︡in, A. S.","","",""
"Old","$a no 97076993","100","10","$a Apostel, Hans Erich, $d 1901-1972. $t Quartets, $m strings, $n no. 1, op. 7","","",""
"New","$a no 97076993","100","10","$a Apostel, Hans Erich, $d 1901-1972. $t Quartets, $m violins (2), viola, cello, $n no. 1, op. 7","","",""
"Old","$a n  89607599","100","1","$a Appleton, John Howard, $d 1844-","","",""
"New","$a n  89607599","100","1","$a Appleton, John Howard, $d 1844-1930","","",""
"Old","$a n  79140924","100","1","$a Arab-Ogly, Ėdvard Arturovich","","",""
"New","$a n  79140924","100","1","$a Arab-Ogly, Ė. A. $q (Ėdvard Arturovich)","","",""
"Old","$a n  82139998","100","10","$a Arakeli͡an, A. A. $q (Artashes Arkadʹevich), $d 1909-","","",""
"New","$a n  82139998","100","1","$a Arakeli︠a︡n, A. A. $q (Artashes Arkadʹevich), $d 1909-","","",""
"Old","$a no2009042898","100","1","$a Araoz V., Arelí $q (Araoz Villasante)","","",""
"New","$a no2009042898","100","1","$a Aráoz V., Arelí $q (Aráoz Villasante)","","",""
"Old","$a n 2004113053","100","1","$a Archer, J., $c bookseller","","",""
"New","$a n 2004113053","100","1","$a Archer, J. $c (Bookseller)","","",""
"Old","$a nr 90020052","100","1","$a Archer, John, $c bookseller","","",""
"New","$a nr 90020052","100","1","$a Archer, John $c (Bookseller)","","",""
"Old","$a no 93032131","100","1","$a Arco y Garay, Ricardo del, $d 1888-","","",""
"New","$a no 93032131","100","1","$a Arco y Garay, Ricardo del, $d 1888-1955","","",""
"Old","$a nr 91007311","100","10","$a Ardaillon, Edouard","","",""
"New","$a nr 91007311","100","1","$a Ardaillon, Édouard, $d 1867-1926","","",""
"Old","$a no2013099830","100","1","$a Ardissone , Alberto","","",""
"New","$a no2013099830","100","1","$a Ardissone, Alberto","","",""
"Old","$a no 98044927","100","1","$a Arensky, Anton, $d 1861-1906. $t Quartets, $m violins, viola, cello, $n op. 11, $r G major","","",""
"New","$a no 98044927","100","1","$a Arensky, Anton, $d 1861-1906. $t Quartets, $m violins (2), viola, cello, $n op. 11, $r G major","","",""
"Old","$a no 98044929 $z no 00055237","100","1","$a Arensky, Anton, $d 1861-1906. $t Quintet, $m piano, violins, viola, cello, $n op. 51, $r D major","","",""
"New","$a no 98044929 $z no 00055237","100","1","$a Arensky, Anton, $d 1861-1906. $t Quintet, $m piano, violins (2), viola, cello, $n op. 51, $r D major","","",""
"Old","$a no 96014144","100","1","$a Arensky, Anton, $d 1861-1906. $t Trios, $m piano, strings, $n no. 1, op. 32, $r D minor","","",""
"New","$a no 96014144","100","1","$a Arensky, Anton, $d 1861-1906. $t Trios, $m piano, violin, cello, $n no. 1, op. 32, $r D minor","","",""
"Old","$a n  84184671","100","1","$a Argyll, Archibald Campbell, $c Marquis of, $d 1598-1661","","",""
"New","$a n  84184671","100","1","$a Argyll, Archibald Campbell, $c Marquess of, $d -1661","","",""
"Old","$a n  85001638","100","10","$a Arkhangelʹskai͡a, V. K. $q (Vera Konstantinovna)","","",""
"New","$a n  85001638","100","1","$a Arkhangelʹskai︠a︡, V. K. $q (Vera Konstantinovna)","","",""
"Old","$a n  82089048","100","10","$a Arkhipova, T. P. $q (Tatʹi͡ana Petrovna)","","",""
"New","$a n  82089048","100","1","$a Arkhipova, T. P. $q (Tatʹi︠a︡na Petrovna)","","",""
"Old","$a nr2005020369","100","1","$a Armstrong, Roger, $c flutist","","",""
"New","$a nr2005020369","100","1","$a Armstrong, Roger $c (Flutist)","","",""
"Old","$a no2001072568","100","1","$a Arnold, Malcolm. $t Phantasy, $m string quartet","","",""
"New","$a no2001072568","100","1","$a Arnold, Malcolm. $t Phantasy, $m violins (2), viola, cello","","",""
"Old","$a no2001072565","100","1","$a Arnold, Malcolm. $t Quartets, $m strings, $n no. 1, op. 23","","",""
